Epoch:1 Loss: 24703.1633, Val Loss: 603.1359, Wer: 1.0000
Epoch:2 Loss: 23030.7372, Val Loss: 557.9494, Wer: 0.8802
Epoch:3 Loss: 20768.6546, Val Loss: 457.9794, Wer: 0.7751
Epoch:4 Loss: 13599.3627, Val Loss: 244.6896, Wer: 0.4219
Epoch:5 Loss: 8644.0759, Val Loss: 179.0617, Wer: 0.3055
Epoch:6 Loss: 6926.7261, Val Loss: 154.8089, Wer: 0.2616
Epoch:7 Loss: 6089.7242, Val Loss: 141.0134, Wer: 0.2361
Epoch:8 Loss: 5587.2835, Val Loss: 133.4289, Wer: 0.2237
Epoch:9 Loss: 5223.6237, Val Loss: 127.4684, Wer: 0.2107
Epoch:10 Loss: 4954.1761, Val Loss: 119.2226, Wer: 0.1975
Epoch:11 Loss: 4730.0762, Val Loss: 116.2752, Wer: 0.1920
Epoch:12 Loss: 4553.9853, Val Loss: 114.5876, Wer: 0.1874
Epoch:13 Loss: 4429.3579, Val Loss: 112.5382, Wer: 0.1844
Epoch:14 Loss: 4305.9151, Val Loss: 109.4388, Wer: 0.1769
Epoch:15 Loss: 4187.1983, Val Loss: 108.0488, Wer: 0.1777
Epoch:16 Loss: 4103.7065, Val Loss: 105.7912, Wer: 0.1722
Epoch:17 Loss: 4023.7160, Val Loss: 104.5889, Wer: 0.1707
Epoch:18 Loss: 3947.2154, Val Loss: 101.7477, Wer: 0.1664
Epoch:19 Loss: 3897.3734, Val Loss: 101.8737, Wer: 0.1649
Epoch:20 Loss: 3815.9894, Val Loss: 99.5115, Wer: 0.1611
Epoch:21 Loss: 3781.5687, Val Loss: 98.4505, Wer: 0.1606
Epoch:22 Loss: 3733.5119, Val Loss: 98.3929, Wer: 0.1597
Epoch:23 Loss: 3687.6063, Val Loss: 96.6425, Wer: 0.1553
Epoch:24 Loss: 3648.6296, Val Loss: 97.0117, Wer: 0.1574
Epoch:25 Loss: 3602.4181, Val Loss: 97.6683, Wer: 0.1562
Epoch:26 Loss: 3554.3192, Val Loss: 97.0183, Wer: 0.1562
Epoch:27 Loss: 3157.1234, Val Loss: 88.2106, Wer: 0.1399
Epoch:28 Loss: 3043.6033, Val Loss: 87.9204, Wer: 0.1408
Epoch:29 Loss: 2995.4762, Val Loss: 87.1890, Wer: 0.1388
Epoch:30 Loss: 2956.1060, Val Loss: 87.3989, Wer: 0.1375
Epoch:31 Loss: 2916.0772, Val Loss: 86.4132, Wer: 0.1378
Epoch:32 Loss: 2891.8903, Val Loss: 87.3274, Wer: 0.1373
Epoch:33 Loss: 2930.0889, Val Loss: 86.1966, Wer: 0.1370
Epoch:34 Loss: 2907.2845, Val Loss: 85.6299, Wer: 0.1370
Epoch:35 Loss: 2894.6572, Val Loss: 86.7165, Wer: 0.1370
Epoch:36 Loss: 2882.9749, Val Loss: 87.0530, Wer: 0.1370
Epoch:37 Loss: 2871.6386, Val Loss: 86.6325, Wer: 0.1358
Epoch:38 Loss: 2621.9463, Val Loss: 82.7050, Wer: 0.1288
Epoch:39 Loss: 2554.0420, Val Loss: 83.1267, Wer: 0.1277
Epoch:40 Loss: 2521.5046, Val Loss: 82.8999, Wer: 0.1284
Epoch:41 Loss: 2497.1005, Val Loss: 81.6940, Wer: 0.1270
Epoch:42 Loss: 2486.1026, Val Loss: 82.8875, Wer: 0.1267
Epoch:43 Loss: 2470.9494, Val Loss: 81.9902, Wer: 0.1264
Epoch:44 Loss: 2456.4685, Val Loss: 82.2210, Wer: 0.1279
Epoch:45 Loss: 2316.8894, Val Loss: 81.5723, Wer: 0.1240
Epoch:46 Loss: 2277.5933, Val Loss: 81.2689, Wer: 0.1232
Epoch:47 Loss: 2256.0769, Val Loss: 81.6814, Wer: 0.1238
Epoch:48 Loss: 2241.4577, Val Loss: 80.6403, Wer: 0.1221
Epoch:49 Loss: 2224.8734, Val Loss: 81.1101, Wer: 0.1223
Epoch:50 Loss: 2214.2622, Val Loss: 80.6595, Wer: 0.1224
Epoch:51 Loss: 2173.5397, Val Loss: 82.0026, Wer: 0.1225
Epoch:52 Loss: 2103.0391, Val Loss: 81.1003, Wer: 0.1209
Epoch:53 Loss: 2077.8197, Val Loss: 80.9401, Wer: 0.1203
Epoch:54 Loss: 2061.4394, Val Loss: 80.9114, Wer: 0.1213
Epoch:55 Loss: 2019.7260, Val Loss: 81.1665, Wer: 0.1200
Epoch:56 Loss: 2002.9242, Val Loss: 81.3403, Wer: 0.1201
Epoch:57 Loss: 1990.5934, Val Loss: 81.5703, Wer: 0.1200
Epoch:58 Loss: 1983.4756, Val Loss: 81.0058, Wer: 0.1194
Epoch:59 Loss: 1977.0594, Val Loss: 80.9569, Wer: 0.1194
Epoch:60 Loss: 1968.7452, Val Loss: 81.3565, Wer: 0.1194
Epoch:61 Loss: 1953.5774, Val Loss: 81.1543, Wer: 0.1196
Epoch:62 Loss: 1945.7397, Val Loss: 81.3141, Wer: 0.1195
Epoch:63 Loss: 1954.2122, Val Loss: 81.0708, Wer: 0.1193
Epoch:64 Loss: 1944.9997, Val Loss: 81.1528, Wer: 0.1196
Epoch:65 Loss: 1938.0727, Val Loss: 81.1270, Wer: 0.1197
Epoch:66 Loss: 1933.5441, Val Loss: 81.3017, Wer: 0.1193
Epoch:67 Loss: 1929.4123, Val Loss: 81.2034, Wer: 0.1193
Epoch:68 Loss: 1926.5012, Val Loss: 81.2553, Wer: 0.1194
